Model,AUROC,AP,BestF1
Isolation Forest,0.7483747823058168,0.41080773296602946,0.48860007649522474
One-Class SVM,0.717770192344905,0.4001640321632938,0.4345774038242297
Local Outlier Factor,0.547304771856496,0.2723690372750761,0.34335699976833645
